Sample in Buffer,Sample in Window,TRIGGER,u_led_twinkle/led,u_led_twinkle/cnt[25:0]
916,916,0,1,28939070
917,917,0,1,28939071
918,918,0,1,28939072
919,919,0,1,28939073
920,920,0,1,28939074
921,921,0,1,28939075
922,922,0,1,28939076
923,923,0,1,28939077
924,924,0,1,28939078
925,925,0,1,28939079
926,926,0,1,28939080
927,927,0,1,28939081
928,928,0,1,28939082
929,929,0,1,28939083
930,930,0,1,28939084
931,931,0,1,28939085
932,932,0,1,28939086
933,933,0,1,28939087
934,934,0,1,28939088
935,935,0,1,28939089
936,936,0,1,28939090
937,937,0,1,28939091
938,938,0,1,28939092
939,939,0,1,28939093
940,940,0,1,28939094
941,941,0,1,28939095
942,942,0,1,28939096
943,943,0,1,28939097
944,944,0,1,28939098
945,945,0,1,28939099
946,946,0,1,28939100
947,947,0,1,28939101
948,948,0,1,28939102
949,949,0,1,28939103
950,950,0,1,28939104
951,951,0,1,28939105
952,952,0,1,28939106
953,953,0,1,28939107
954,954,0,1,28939108
955,955,0,1,28939109
956,956,0,1,28939110
957,957,0,1,28939111
958,958,0,1,28939112
959,959,0,1,28939113
960,960,0,1,28939114
961,961,0,1,28939115
962,962,0,1,28939116
963,963,0,1,28939117
964,964,0,1,28939118
965,965,0,1,28939119
966,966,0,1,28939120
967,967,0,1,28939121
968,968,0,1,28939122
969,969,0,1,28939123
970,970,0,1,28939124
971,971,0,1,28939125
972,972,0,1,28939126
973,973,0,1,28939127
974,974,0,1,28939128
975,975,0,1,28939129
976,976,0,1,28939130
977,977,0,1,28939131
978,978,0,1,28939132
979,979,0,1,28939133
980,980,0,1,28939134
981,981,0,1,28939135
982,982,0,1,28939136
983,983,0,1,28939137
984,984,0,1,28939138
985,985,0,1,28939139
986,986,0,1,28939140
987,987,0,1,28939141
988,988,0,1,28939142
989,989,0,1,28939143
990,990,0,1,28939144
991,991,0,1,28939145
992,992,0,1,28939146
993,993,0,1,28939147
994,994,0,1,28939148
995,995,0,1,28939149
996,996,0,1,28939150
997,997,0,1,28939151
998,998,0,1,28939152
999,999,0,1,28939153
1000,1000,0,1,28939154
1001,1001,0,1,28939155
1002,1002,0,1,28939156
1003,1003,0,1,28939157
1004,1004,0,1,28939158
1005,1005,0,1,28939159
1006,1006,0,1,28939160
1007,1007,0,1,28939161
1008,1008,0,1,28939162
1009,1009,0,1,28939163
1010,1010,0,1,28939164
1011,1011,0,1,28939165
1012,1012,0,1,28939166
1013,1013,0,1,28939167
1014,1014,0,1,28939168
1015,1015,0,1,28939169
1016,1016,0,1,28939170
1017,1017,0,1,28939171
1018,1018,0,1,28939172
1019,1019,0,1,28939173
1020,1020,0,1,28939174
1021,1021,0,1,28939175
1022,1022,0,1,28939176
1023,1023,0,1,28939177
